
fieldmouse fieldmice
fifth fifths
fig figs
filaria filariiae
filefish filefishes
filum fila
fimbria fimbriae
finger fingers
fire fires
fireman firemen
fir firs
fish fish
fish fishes
fish fishes
fishwife fishwives
fistula fistulae
flabellum flabella
flagellum flagella
flag flags
flagstaff flagstaves
flambeau flambeaux
flame flames
flamen flamines
flamingo flamingoes
flamingo flamingos
flatfish flatfishes
flatfoot flatfeet
flavor flavors
flesh fleshes
flick flicks
flight flights
flittermouse flittermice
flocculus flocculi
floccus flocci
flock flocks
floor floors
flora florae
floreat floreant
florilegium florilegia
flower flowers
fly flies
flyleaf flyleaves
focus foci
focus focuses
fog fogs
fold folds
folium folia
food foods
foot feet
foot foot
foot foots
foramen foramina
force forces
forceps forceps
forefoot forefeet
foretooth foreteeth
fork forks
form forms
formicarium formicaria
formula formulae
formula formulas
fornix fornices
fortis fortes
forum fora
fossa fossae
fovea foveae
foveola foveolae
fowl fowls
fowl fowls
fractocumulus fractocumuli
fractostratus fractostrati
fraenum fraena
frame frames
frau frauen
frenulum frenula
frenum frena
fresco frescoes
fricandeau fricandeaux
fricando fricandoes
friction frictions
friend friends
frijol frijoles
frogfish frogfishes
frog frogs
frons frontes
front fronts
fruit fruits
frustum frusta
fucus fuci
fuel fuels
fulcrum fulcra
fumatorium fumatoria
fundus fundi
fungus fungi
fungus funguses
funiculus funiculi
furcula furculae
furculum furcula
furfur furfures
furniture furniture
galea galeae
gambado gambadoes
game games
gametangium gametangia
gametoecium gametoecia
gammadion gammadia
ganglion ganglia
garden gardens
garfish garfishes
gas gas
gas gasses
gastrula gastrulae
gateau gateaux
gate gates
gavel gavels
gazebo gazeboes
gecko geckoes
geese geese
gelsemium gelsemia
gemeinschaft gemeinschaften
gemma gemmae
gemsbok gemboks
gemsbuck gembucks
gender genders
generatrix generatrices
genesis geneses
genius genii
gens gentes
genu genua
genus genera
genus genera
genus genus
genus genuses
germen germina
gesellschaft gesellschaften
gestalt gestalten
ghetto ghettoes
ghost ghosts
gingiva gingivae
gingko gingkoes
ginglymus ginglymi
ginkgo ginkgoes
gippo gippoes
giraffe giraffes
girl girls
glabella glabellae
gladiolus gladioli
glans glandes
glioma gliomata
glissando glissandi
globefish globefishes
globigerina globigerinae
glochidium glochidcia
glochidium glochidia
glomerulus glomeruli
glossa glossae
glottis glottides
glove gloves
glue glues
glutaeus glutaei
gluteus glutei
gnosis gnoses
goatfish goatfishes
goat goats
gobo goboes
godchild godchildren
go goes
goldfish goldfishes
gold golds
gomphosis gomphoses
gonidium gonidia
gonion gonia
gonococcus gonococci
good-bye good-byes
goodwife goodwives
goosefish goosefishes
goose geese
goose geese
goose gooses
gorgoneion gorgoneia
gospodin gospopoda
government governments
governor governors
goy goyim
gps gps
grade grades
graffito graffiti
graf grafen
grain grains
grandchild grandchildren
grandfather grandfathers
grandmother grandmothers
granuloma granulomata
grape grapes
gravamen gravamina
grip grips
grosz groszy
grotto grottoes
ground grounds
group groups
grouse grouse
grouse grouses
growth growths
guide guides
guilde guilder
guilde guilders
guinea guineas
guinea pig guinea pigs
guitarfish guitarfishes
guitar guitars
gumma gummata
gun guns
gurnar gurnard
gurnar gurnards
gutta guttae
guy guys
gymnasium gymnasia
gynaeceum gynaecea
gynaecium gynaecia
gynecium gynecea
gynecium gynecia
gynoecium gynoecea
gynoecium gynoecia
gyrus gyri
hadj hadjes
